CCLM variable name;CCLM variable name (in model output file);output variable name;to be derived from;Derotate (CORDEX);Level;Conversion factor;Cell Method (additional subdaily,CORDEX);Cell Method (subdaily,CORDEX);Cell Method (daily,CORDEX);Cell Method (monthly,CORDEX);Cell Method (seasonal,CORDEX);Levelvalue (height, plev);units;Additional subdaily frq[1/day];"Subdaily frq
[1/day]";ag;"Daily frq
[1/day]";ag;"Monthly frq
[1/mon]";ag;"Seasonal frq
[1/sem]";ag;fx;long_name;comment;standard_name;direction of positive fluxes;"realm
(not required, however, if included should have the value as in CMIP5)";"cell-method: area
(optional)"
PS;PS;ps;;;ModelLevel;1;;point;mean;mean;mean;0;Pa;;4;i;1;4;1;m*4;1;s*4;;Surface Air Pressure;;surface_air_pressure;;atmos;
PMSL;PMSL;psl;;;ModelLevel;1;;point;mean;mean;mean;0;Pa;;4;i;1;4;1;m*4;1;s*4;;Sea Level Pressure;ECMWF method used for calculating psl;air_pressure_at_sea_level;;atmos;
ASWD_S;ASWD_S;rsds;ASWDIR_S + ASWDIFD_S;;ModelLevel;1;;mean;mean;mean;mean;0;W m-2;;24;a;1;24;1;m*24;1;s*24;;Surface Downwelling Shortwave Radiation;;surface_downwelling_shortwave_flux_in_air;down;atmos;
ALWD_S;ALWD_S;rlds;;;ModelLevel;1;;mean;mean;mean;mean;0;W m-2;;24;a;1;24;1;m*24;1;s*24;;Surface Downwelling Longwave Radiation;;surface_downwelling_longwave_flux_in_air;down;atmos;
ALHFL_S;ALHFL_S;hfls;;;ModelLevel;-1;;mean;mean;mean;mean;0;W m-2;;24;a;1;24;1;m*24;1;s*24;;Surface Upward Latent Heat Flux;;surface_upward_latent_heat_flux;up;atmos;
ASHFL_S;ASHFL_S;hfss;;;ModelLevel;-1;;mean;mean;mean;mean;0;W m-2;;24;a;1;24;1;m*24;1;s*24;;Surface Upward Sensible Heat Flux;;surface_upward_sensible_heat_flux;up;atmos;
ASWDIFU_S;ASWDIFU_S;rsus;;;ModelLevel;1;;mean;mean;mean;mean;0;W m-2;;24;a;1;24;1;m*24;1;s*24;;Surface Upwelling Shortwave Radiation;;surface_upwelling_shortwave_flux_in_air;up;atmos;
ALWU_S;ALWU_S;rlus;;;ModelLevel;1;;mean;mean;mean;mean;0;W m-2;;24;a;1;24;1;m*24;1;s*24;;Surface Upwelling Longwave Radiation;;surface_upwelling_longwave_flux_in_air;up;atmos;
ASOD_T;ASOD_T;rsdt;;;ModelLevel;1;;mean;mean;mean;mean;0;W m-2;;24;a;1;24;1;m*24;1;s*24;;TOA Incident Shortwave Radiation;;toa_incoming_shortwave_flux;down;atmos;
ASOU_T;ASOU_T;rsut;ASOD_T-ASOB_T;;ModelLevel;1;;mean;mean;mean;mean;0;W m-2;;24;a;1;24;1;m*24;1;s*24;;TOA Outgoing Shortwave Radiation;;toa_outgoing_shortwave_flux;up;atmos;
ATHB_T;ATHB_T;rlut;;;ModelLevel;-1;;mean;mean;mean;mean;0;W m-2;;24;a;1;24;1;m*24;1;s*24;;TOA Outgoing Longwave Radiation;;toa_outgoing_longwave_flux;up;atmos;
AEVAP_S;AEVAP_S;evspsbl;;;ModelLevel;-0.000277778;;mean;mean;mean;mean;0;kg m-2 s-1;;24;a;1;24;1;m*24;1;s*24;;Evaporation;;water_evaporation_flux;;atmos;
CLCT;CLCT;clt;;;ModelLevel;100;;point;mean;mean;mean;0;%;;24;a;1;24;1;m*24;1;s*24;;Total Cloud Fraction;;cloud_area_fraction;;atmos;
FR_SNOW;FR_SNOW;snc;Max(0.01,Min(1.,W_SNOW/0.015))*H(x);;ModelLevel;100;;point;mean;mean;mean;0;%;;4;i;1;4;1;m*4;1;s*4;;Snow Area Fraction;;surface_snow_area_fraction;;landIce land;
H_SNOW;H_SNOW;snd;;;ModelLevel;1;;point;mean;mean;mean;0;m;;4;i;1;4;1;m*4;1;s*4;;Snow Depth;;surface_snow_thickness;;landIce land;
RUNOFF_S;RUNOFF_S;mrros;;;ModelLevel;0.000277778;;mean;mean;mean;mean;0;kg m-2 s-1;;24;a;1;24;1;;1;;;Surface Runoff;;surface_runoff_flux;;land;
RUNOFF_T;RUNOFF_T;mrro;RUNOFF_G + RUNOFF_S;;ModelLevel;0.000277778;;mean;mean;mean;mean;0;kg m-2 s-1;;24;a;1;24;1;;1;;;Total Runoff;;runoff_flux;;land;
W_SO;W_SO;mrsol;W_SO(1);;ModelLevel;1000;;point;mean;mean;mean;0;kg m-2;;4;i;1;4;1;m*4;1;s*4;;Total Water Content of Soil Layer;depth of first soil layer: 1.0 cm;moisture_content_of_soil_layer;;land;
W_SO;W_SO;mrso;Sum(W_SO(1:8));;ModelLevel;1000;;point;mean;mean;mean;8;kg m-2;;4;i;1;4;1;m*4;1;s*4;;Total Soil Moisture Content;Sum over 8 levels from ground to 3.82 m depth;soil_moisture_content;;land;
TQV;TQV;prw;;;ModelLevel;1;;point;mean;mean;mean;0;kg m-2;;24;i;1;24;1;m*4;1;s*4;;Water Vapor Path;;atmosphere_water_vapor_content;;atmos;
TQW;TQW;clwvi;TQC + TQI;;ModelLevel;1;;point;mean;mean;mean;0;kg m-2;;24;i;1;24;1;m*4;1;s*4;;Condensed Water Path;;atmosphere_cloud_condensed_water_content;;atmos;
TQI;TQI;clivi;;;ModelLevel;1;;point;mean;mean;mean;0;kg m-2;;24;i;1;24;1;m*4;1;s*4;;Ice Water Path;;atmosphere_cloud_ice_content;;atmos;
HSURF;HSURF;orog;;;;1;;;;;;;m;;;;;;;;;;0;Surface Altitude;;surface_altitude;;atmos;
FR_LAND;FR_LAND;sftlf;;;;100;;;;;;;%;;;;;;;;;;0;Land Area Fraction;;land_area_fraction;;atmos;
HPBL;HPBL;zmla;;;ModelLevel;1;;point;mean;mean;mean;0;m;;24;i;1;24;;;;;;Height of Boundary Layer;;atmosphere_boundary_layer_thickness;;atmos;
CAPE_ML;CAPE_ML;CAPE;;;ModelLevel;1;;point;maximum;;;0;J kg-1;;24;i;1;24;;;;;;2-D Maximum convective available potential energy;;atmosphere_convective_inhibition_wrt_surface;;atmos;
CIN_ML;CIN_ML;CIN;;;ModelLevel;1;;point;maximum;;;0;J kg-1;;24;i;1;24;;;;;;2-D Maximum convective inhibition;;atmosphere_convective_inhibition_wrt_surface;;atmos;
